@relation INMUEBLE_SIN_OUTLIER-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Remove-R1

@attribute IMP_TASA numeric
@attribute NUM_ASC {0,1}
@attribute NUM_BAN numeric
@attribute NUM_HAB numeric
@attribute NUM_VAL_M2_UTIL numeric
@attribute NUM_VAL_M2_CONST numeric
@attribute TXT_SUB_CATE_ACTI {Piso,Casa,Atico,Adosado,Duplex,Apartamento,Chalet}

@data
123999.41,0,2,3,98,124,Casa
208343.52,0,2,6,?,396,Casa
143300,0,1,1,?,98,Casa
68277.4,0,1,3,108,108,Piso
128764.46,0,2,2,84.25,84.25,Piso
56179.53,0,1,3,74,74,Casa
187061.88,?,2,4,153.01,188.22,Adosado
188557.95,0,?,?,71.82,71.82,Piso
438020.23,?,3,4,180,180,Chalet
70350,0,1,3,85.7,98.51,Piso
60280,0,1,3,68.5,78.9,Piso
152207.44,0,2,3,81.36,105,Piso
284954.13,0,2,3,113.65,133.7,Adosado
245330,0,3,4,146.65,209.77,Chalet
245330,0,3,4,146.65,209.77,Chalet
232862,0,3,3,130.47,195.92,Chalet
232862,0,3,3,130.47,195.92,Chalet
175520.3,0,2,2,80.89,107.45,Piso
232862,0,3,3,130.47,195.92,Chalet
232862,0,3,3,130.47,195.92,Chalet
232862,0,3,3,130.47,195.92,Chalet
232862,0,3,3,130.47,195.92,Chalet
238737,0,3,3,139.35,199.52,Chalet
199491,0,3,3,90.61,145,Chalet
199491,0,3,3,90.61,145,Chalet
200260,0,3,3,90.61,145,Chalet
200260,0,3,3,90.61,145,Chalet
200260,0,3,3,90.61,145,Chalet
200260,0,3,3,90.61,145,Chalet
200260,0,3,3,90.61,145,Chalet
200260,0,3,3,90.61,145,Chalet
200260,0,3,3,90.61,145,Chalet
200260,0,3,3,90.61,145,Chalet
200260,0,3,3,90.61,145,Chalet
200260,0,3,3,90.61,145,Chalet
431050,0,3,4,223.47,321.15,Chalet
431050,0,3,4,223.47,321.15,Chalet
431050,0,3,4,223.47,321.15,Chalet
431050,0,3,4,223.47,321.15,Chalet
431050,0,3,4,223.47,321.15,Chalet
431050,0,3,4,223.47,321.15,Chalet
431050,0,3,4,223.47,321.15,Chalet
431050,0,3,4,223.47,321.15,Chalet
431050,0,3,4,223.47,321.15,Chalet
?,0,?,3,124.46,158.47,Duplex
181908.11,0,2,2,100.49,139.85,Duplex
?,0,?,?,?,?,Casa
186083.39,1,1,3,88,88,Piso
